Simulation,%_Obs_Direct_to_MDTF0x22,%_of_Fires_Focused_on_Enemy_Artillery0x22,ACE_Fusion_Expertise,ACE_Fusion_Personnel,ACE_Fusion_Technology,Average_Launch_and_Transit_Time,Crews_Available,ED_Expertise,ED_Personnel,ED_Technology,Frequencies_Per_Satellite,Ground_Control_Stations_Available,Initial_UAS,MDTF_Allocation,MDTF_PEF_Expertise,MDTF_PEF_Technology,NOISE_SEED,PE_Expertise,PE_Technology,PED_Personnel_Total,Satellites_Available,Enemy_AAA_Losses,Enemy_Anti_Aircraft,Enemy_Artillery,Enemy_Artillery_Losses,Friendly_UAS_Losses,HIMARS_Losses,Satellite_Losses,AAA_to_UAS_Loss_Ratio,Artillery_Loss_Ratio,ED_Overflow_Ratio,ED_Overwork,Enemy_AAA_Percent_Loss,Enemy_Artillery_Percent_Loss,HIMARS_Percent_Loss,MDTF_Overflow_Ratio,MDTF_PE_Limit,PE_Overflow_Ratio,PE_Overwork,Satellite_Percent_Loss,Total_Loss_Ratio,Total_Overflow_Ratio,UAS_Loss_Percent
504.5,0.02625,0.9475,2.3875,18.813,1.995,2.33,39.9,3.0475,4.7625,1.1575,3.33,43.3,30.575,0.34875,1.355,2.115,24.5,3.9625,2.745,33.088,6.425,3.0764,46.924,9.1136,40.886,37.792,17.479,5.2083,0.082479,2.3759,0.48448,1.53E-13,6.1527,81.773,87.396,2.22E-05,33.07,0.0042761,0,81.064,0.80229,0.48878,75.583
552.5,0.02875,0.2575,1.2625,23.563,1.255,3.83,19.7,3.2725,4.5675,3.6025,4.47,24.7,25.775,0.17125,2.025,1.605,24.5,3.9475,2.445,15.063,4.255,49.417,0.58343,9.9875,40.013,21.083,18.667,3.5625,2.4693,2.1756,0.018148,1.17E-21,98.833,80.025,93.333,7.67E-05,8.3836,0.0060896,0,83.725,2.2849,0.024314,42.167
600.5,0.03125,0.0525,1.6675,11.563,1.365,5.17,23.3,3.7675,13.082,3.5725,1.61,38.5,32.825,0.36375,1.185,1.865,24.5,3.7975,2.985,23.112,8.665,49.579,0.42068,32.479,17.521,16.292,19.729,6.5833,3.2168,0.89861,0.0032304,0,99.159,35.041,98.646,3.28E-05,18.58,0.0034915,0,75.976,1.8936,0.0067547,32.583
648.5,0.03375,0.4375,1.0675,7.9375,1.485,2.85,31.5,2.2375,5.5425,1.8325,1.15,25.3,29.975,0.08375,2.595,2.035,24.5,3.1825,2.355,8.5875,9.715,39.491,10.509,17.397,32.603,24.104,19.292,7.8958,1.6657,1.7047,0.08266,1.98E-11,78.983,65.206,96.458,0.00015733,3.798,0.0086771,0,81.275,1.6598,0.091494,48.208
696.5,0.03625,0.2525,1.1125,13.438,1.125,5.41,44.9,3.0775,14.967,1.5025,2.37,47.3,40.625,0.49875,2.125,1.955,24.5,2.5525,1.295,39.912,3.345,30.117,19.883,38.013,11.987,15.396,19.792,2.625,2.0676,0.61082,0.0047203,0,60.234,23.975,98.958,5.87E-06,82.698,0.0051271,0,78.475,1.192,0.0098533,30.792
744.5,0.03875,0.7875,3.4675,25.313,2.185,3.25,22.3,3.4075,2.0325,2.5225,3.89,38.7,22.925,0.08875,2.415,1.415,24.5,2.6875,2.555,19.438,14.195,12.105,37.895,9.4366,40.563,39.979,17.708,11.271,0.30301,2.3208,0.46693,3.03E-12,24.209,81.127,88.542,0.00027291,5.895,0.0083763,0,79.4,0.91602,0.47558,79.958
792.5,0.04125,0.3675,2.9275,28.563,2.025,4.67,30.9,3.1075,12.043,1.0675,3.73,17.3,31.625,0.04875,2.205,1.645,24.5,1.0075,2.835,11.738,13.705,49.904,0.096422,9.6665,40.334,28,18.25,10.958,1.8122,2.2341,0.016885,0,99.807,80.667,91.25,0.00099045,2.0755,0.10891,4.38E-15,79.959,1.9628,0.12679,56
840.5,0.04375,0.3775,3.9175,22.813,1.855,5.75,40.1,2.2525,2.4225,3.7225,4.45,32.3,43.475,0.29125,1.375,2.045,24.5,3.5425,1.235,37.112,6.145,43.544,6.4557,19.075,30.925,34.917,19.375,4.8333,1.2772,1.6073,0.3363,6.18E-11,87.089,61.849,96.875,5.94E-05,30.394,0.007743,0,78.655,1.3865,0.3441,69.833
888.5,0.04625,0.2675,2.4025,9.5625,2.355,3.97,12.3,2.0425,9.1825,3.6625,2.15,12.7,21.125,0.15375,1.865,2.855,24.5,3.3775,1.645,12.612,5.655,46.09,3.9101,18.155,31.845,19.542,19.208,4.4167,2.6183,1.6908,0.0070547,0,92.18,63.689,96.042,0.0001139,10.325,0.008842,0,78.102,2.0933,0.016011,39.083
936.5,0.04875,0.6925,3.3775,24.188,2.565,5.53,35.5,1.0975,13.668,1.3375,4.31,41.7,37.475,0.08625,1.095,1.175,24.5,2.3875,1.165,35.362,1.455,9.384,40.616,29.687,20.313,14.792,19.625,0.89583,0.66994,1.0467,0.015335,2.80E-09,18.768,40.627,98.125,0.00016273,3.9242,0.0027086,0,61.569,0.84616,0.018207,29.583
